,string,x,y
0,"move sixty-seven to the left, then go up  five",-67,5
1,"move nine to the left, then go up  seventy-six",-9,76
2,"move forty-five to the left, then go up  forty-one",-45,41
3,"move twelve to the left, then go up  forty-four",-12,44
4,"move ninety-five to the left, then go up  sixty-six",-95,66
5,"move forty-eight to the left, then go up  fifteen",-48,15
6,"move four to the left, then go up  ninety-seven",-4,97
7,"move forty to the left, then go up  twenty",-40,20
8,"move forty-one to the left, then go up  ninety-seven",-41,97
9,"move twenty to the left, then go up  ninety-six",-20,96
10,"move fourteen to the left, then go up  ninety-three",-14,93
11,"move sixty-five to the left, then go up  sixteen",-65,16
12,"move thirty to the left, then go up  ninety-one",-30,91
13,"move seventy to the left, then go up  eighty",-70,80
14,"move thirty-nine to the left, then go up  fifty-four",-39,54
15,"move seven to the left, then go up  sixty-three",-7,63
16,"move ninety to the left, then go up  forty-one",-90,41
17,"move ninety-eight to the left, then go up  forty-three",-98,43
18,"move eighty to the left, then go up  ninety-one",-80,91
19,"move eighty-five to the left, then go up  sixteen",-85,16
20,"move forty-seven to the left, then go up  eighty-eight",-47,88
21,"move sixty-one to the left, then go up  thirty-nine",-61,39
22,"move eighty to the left, then go up  eighty",-80,80
23,"move fifty-six to the left, then go up  seventy-three",-56,73
24,"move six to the left, then go up  nine",-6,9
25,"move thirty-four to the left, then go up  forty-one",-34,41
26,"move ninety-three to the left, then go up  thirty-four",-93,34
27,"move twenty-two to the left, then go up  seventy",-22,70
28,"move fifty-two to the left, then go up  sixty-five",-52,65
29,"move sixty-one to the left, then go up  four",-61,4
30,"move seventy-two to the left, then go up  thirty-seven",-72,37
31,"move eighty-four to the left, then go up  twelve",-84,12
32,"move three to the left, then go up  seventy-six",-3,76
33,"move thirty-three to the left, then go up  eighty-three",-33,83
34,"move thirty-five to the left, then go up  seven",-35,7
35,"move seventy-nine to the left, then go up  eighteen",-79,18
36,"move ninety-eight to the left, then go up  thirteen",-98,13
37,"move eighty-two to the left, then go up  six",-82,6
38,"move seventy-one to the left, then go up  fifty-four",-71,54
39,"move seventy-three to the left, then go up  ninety-six",-73,96
40,"move six to the left, then go up  eighty-two",-6,82
41,"move forty-six to the left, then go up  seventy-three",-46,73
42,"move ninety-one to the left, then go up  ten",-91,10
43,"move sixty-five to the left, then go up  eighty-three",-65,83
44,"move twenty-two to the left, then go up  twenty-two",-22,22
45,"move ninety-five to the left, then go up  eighty",-95,80
46,"move one to the left, then go up  seventy-one",-1,71
47,"move twenty-four to the left, then go up  eighteen",-24,18
48,"move thirty-one to the left, then go up  thirty-seven",-31,37
49,"move sixty-four to the left, then go up  fifty-five",-64,55
50,"move thirty-two to the left, then go up  ninety-eight",-32,98
51,"move thirty-two to the left, then go up  fifty",-32,50
52,"move seventy-nine to the left, then go up  eighty",-79,80
53,"move twenty to the left, then go up  seventy-six",-20,76
54,"move seventy-one to the left, then go up  eight",-71,8
55,"move sixty-three to the left, then go up  sixteen",-63,16
56,"move forty-nine to the left, then go up  one hundred",-49,100
57,"move seventy-nine to the left, then go up  four",-79,4
58,"move eighty-three to the left, then go up  eighty-seven",-83,87
59,"move forty-one to the left, then go up  twenty",-41,20
60,"move seventy-four to the left, then go up  sixty-three",-74,63
61,"move eighty-three to the left, then go up  forty-six",-83,46
62,"move sixty-six to the left, then go up  eighteen",-66,18
63,"move fifty-nine to the left, then go up  eighty-three",-59,83
64,"move seven to the left, then go up  twenty-six",-7,26
65,"move twelve to the left, then go up  thirty-one",-12,31
66,"move seventy-one to the left, then go up  fifty-two",-71,52
67,"move twenty-seven to the left, then go up  seventy-two",-27,72
68,"move thirty-nine to the left, then go up  eleven",-39,11
69,"move ninety-three to the left, then go up  sixty-five",-93,65
70,"move sixty-one to the left, then go up  forty-two",-61,42
71,"move sixty-seven to the left, then go up  fifty",-67,50
72,"move eighty-four to the left, then go up  fifty-seven",-84,57
73,"move fifty to the left, then go up  ninety-three",-50,93
74,"move twenty-six to the left, then go up  fifty-three",-26,53
75,"move seventy-two to the left, then go up  seventy-five",-72,75
76,"move fifty-five to the left, then go up  three",-55,3
77,"move forty-one to the left, then go up  forty-seven",-41,47
78,"move seventy-three to the left, then go up  seventy-five",-73,75
79,"move fifty-six to the left, then go up  seventy-nine",-56,79
